Things, The Move, The Impact, The Upshot
b'Obamacare',"b'The move: House Republicans had tried for years to cut off subsidies that helped low-income Obamacare enrollees with the co-pays, co-insurance and deductibles that come with their health plans. In 2017, Trump finally did it through administrative means after the GOP effort to replace the law fell apart \xe2\x80\x94 and he immediately drew intense outcry from Democrats and policy experts who called the move \xe2\x80\x9csabotage.\xe2\x80\x9d '","b'The impact: The health exchanges didn\xe2\x80\x99t collapse, as Trump had hoped. Instead, health plans and states quickly figured out a way to claw back the federal dollars they lost: They built the costs of the subsidies into premiums for Obamacare\xe2\x80\x99s benchmark \xe2\x80\x9csilver\xe2\x80\x9d policies. This meant that premiums for these \xe2\x80\x9csilver\xe2\x80\x9d plans spiked and as a result, the premium subsidies the government had to pay for low-income enrollees vastly increased. The concept, known as \xe2\x80\x9csilver-loading,\xe2\x80\x9d grew government subsidizing of the exchanges by upwards of $20 billion per year. '","b'The upshot: While Trump\xe2\x80\x99s moves made Obamacare plans increasingly unaffordable for the unsubsidized, Democrats quickly tamped down their criticisms since it accomplished their goal of significantly boosting funding for Obamacare. The incoming Biden administration isn\xe2\x80\x99t likely to reverse course. \xe2\x80\x94 Susannah Luthi'"
b'Strategy',"b'The move: The 2018 strategy rewired the Defense Department\xe2\x80\x99s vast bureaucracy away from a focus on fighting insurgents and terrorists in the Middle East toward a long-term strategic competition with China and Russia. As a result, the military is changing how it trains personnel, which technologies it buys, and the geographic areas of the world where it prioritizes its forces. '","b'The impact: Already it has led to a reordering of the Pentagon budget and new investments supported by a bipartisan majority in Congress, including billions of dollars to beef up the U.S. military presence in the Asia-Pacific. '","b'The upshot: Despite differences in tone and rhetoric, this is a refocusing of the United States\xe2\x80\x99 military posture that is expected to continue in the Biden administration. \xe2\x80\x94 Bryan Bender '"
b'Coronavirus',"b'The move: Despite pressure from Democrats, unions and worker advocates, OSHA refused to set rules for worker safety during the pandemic. Republicans defended the decision by saying the burden on companies struggling to stay afloat amid the recession would be too great. In the absence of a standard, employers have only had to comply with a mix of optional guidelines, able to pick and choose what precautions they take. '","b'The impact: The agency\xe2\x80\x99s backseat approach to workplace safety means Americans still face a dangerously unpredictable range of safety conditions when they show up to work. Though OSHA has cited some companies for coronavirus-related transgressions, many large corporations received meager fines even in cases where workers died from Covid-19. Democrats have attempted to include language mandating an emergency temporary standard in future rounds of pandemic aid \xe2\x80\x94 but their efforts have been unsuccessful.'",b'The upshot: One of the first things a Biden administration will likely move to do is instruct OSHA to step up worker safety enforcement \xe2\x80\x94 including by enacting an emergency standard and ramping up penalties on violators. Biden\xe2\x80\x99s campaign also pledged to double the number of OSHA investigators to enforce the law and existing standards. \xe2\x80\x94 Eleanor Mueller '
b'Oversight',"b'The move: Interior Secretary David Bernhardt showed up for Congressional hearings that decided the fate of the department\xe2\x80\x99s budget, but otherwise refused invitations from the House Natural Resources Committee to defend its policy actions under Trump. The attitude flowed down to sub-agency heads as well. Scott Angelle, the administration\xe2\x80\x99s head of the Bureau of Safety and Environmental Enforcement, the office in charge of setting offshore drilling safety standards, told the committee he was \xe2\x80\x9ctoo busy\xe2\x80\x9d to answer the committee\xe2\x80\x99s request that he explain its practice of handing out waivers on regulation put in place in response to the Deepwater Horizon rig disaster.'","b'The impact: The foot-dragging in providing even basic information stretched to written requests from Congress and the public. House Democrats complained that Interior, in responding to written questions, would flood the zone with thousands of documents that had little relation to the topic at hand and even include pages containing nothing but Wingdings font. Interior was also sued by outside groups and subject to an internal watchdog audit over complaints it was slow walking public information requests. '","b'The upshot: All in all, the agency got away with it: Democrats complained but never followed through on a subpoena threat. By the final six months of the Trump administration, Interior officials completely stopped attending House hearings meant to flag issues with the department. The behavior all but guarantees that future administrations will follow suit. \xe2\x80\x94 Ben Lefebvre '"
b'Cannabis',"b'The move: Despite its anti-weed rhetoric, the Trump administration stood to the side as 18 states liberalized their marijuana laws from 2016 to 2020, including staunchly conservative states like Mississippi and South Dakota. Despite former Attorney General William Barr\xe2\x80\x99s anti-trust scrutiny of cannabis deals, the federal government remained relatively hands-off on marijuana policy. '","b'The impact: Cannabis is now legal in some form in 36 states, meaning that a majority of Americans have some form of legal access even though the drug remains officially illegal at the federal level. In fact, more than one-third of Americans now live in states with full legalization.'","b'The upshot: Cannabis has become a massive business, generating billions in state revenues. The move toward legalization is likely to accelerate under a Biden administration, which is expected to pressure Congress to pass legislation fixing some legal problems for cannabis companies, such as access to banking, and might even move to change its illegal status under the federal Controlled Substances Act. \xe2\x80\x94 Mona Zhang'"
b'Loan forgiveness',"b'The move: DeVos rewrote the Obama administration\xe2\x80\x99s rules that govern when federal student loan borrowers can have their debt wiped out as a result of their college\xe2\x80\x99s misconduct, imposing stricter standards of proof. She also required the Education Department to provide only partial loan relief in many cases, a departure from the Obama administration\xe2\x80\x99s policy of providing full loan forgiveness. Congress moved to block the rules, with 10 GOP senators joining Democrats, but Trump vetoed the legislation and the new rules took effect. '",b'The impact: Borrowers seeking to have their loans wiped out because of the misconduct of their college \xe2\x80\x94 such as misleading or deceiving students about their job prospects \xe2\x80\x94 will have a tougher time proving their claims. The Education Department estimates that the Trump policy will reduce federal loan forgiveness by hundreds of millions of dollars each year. ',"b'The upshot: Biden has already committed to swiftly reversing Trump\xe2\x80\x99s changes to the rules, which are known as \xe2\x80\x9cborrower defense to repayment.\xe2\x80\x9d But he\xe2\x80\x99s facing pressure from progressives to go further and provide sweeping debt cancellations to all borrowers, regardless of whether they were defrauded. \xe2\x80\x94 Michael Stratford'"
b'Shell companies',"b'The move: The new law would require millions of business entities to report their true owners, puncturing the veil of anonymity that shell companies give to money launderers and tax evaders and making it easier for prosecutors to literally follow the money. '","b'The impact: The information businesses report to the Treasury Department would be accessible to law enforcement agencies that would have an unprecedented tool to investigate shell companies. Banks, which are responsible for policing criminal activity by their customers, would also be able to tap into the database.'",b'The upshot: Criminals will keep finding ways to operate in the shadows. But the new disclosure rules could give law enforcement leverage over their frontmen and may make it harder for bad guys to find lawyers willing to help hide their money because of the new paper trail. \xe2\x80\x94 Zachary Warmbrodt '
b'Poverty',"b'The move: In 2018, the Agriculture Department introduced a new rule that aimed to more strictly enforce certain work mandates under the program, making it more difficult for states to seek waivers from SNAP work requirements for able-bodied adults who aren\xe2\x80\x99t caring for children or other dependents. '","b'The impact: 755,000 Americans have lost their access to food aid under SNAP, according to the USDA\xe2\x80\x99s own estimates. '","b'The upshot: The courts could reverse the change. In October, a judge halted the rule and said that it \xe2\x80\x9cradically and abruptly alters decades of regulatory practice, leaving states scrambling and exponentially increasing food insecurity for tens of thousands of Americans.\xe2\x80\x9d But the Trump administration appealed that decision in December, prolonging the legal battle. \xe2\x80\x94 Liz Crampton  '"
b'Overtime pay',"b'The move: In 2016, Obama\xe2\x80\x99s Labor Department finalized a rule that would raise the salary threshold for overtime eligibility from around $24,000 to some $47,000 a year, with triennial increases. At the time, only about 6 percent of workers were eligible. But Trump\xe2\x80\x99s White House declined to defend the rule in court, and in 2019, proposed its own, much more lax rule, which would raise the threshold to about $35,000 with no scheduled raises.'","b'The impact: The Trump rule applies to just 15 percent of full-time, salaried workers, whereas the Obama rule would have applied to twice as many. That\xe2\x80\x99s at least 8 million workers who would have been eligible for overtime pay under the 2016 version and now are ineligible; some estimates place the amount of wages lost at around $1 billion annually.'","b'The upshot: Biden\xe2\x80\x99s role in the Obama administration, which proposed the original rule, and his sweeping pro-worker agenda indicate that he will likely overturn the Trump rule and issue his own overtime rule \xe2\x80\x94 though when, exactly, that will happen remains unclear. \xe2\x80\x94 Eleanor Mueller'"
b'Greenhouse gases',"b'The move: The Trump administration loosened the standards oil and gas companies had to meet for how much methane \xe2\x80\x94 the largest chemical component of natural gas and a major heat-trapping substance \xe2\x80\x94 they could allow to leak out of pipelines, storage tanks and other oil field infrastructure. Senate Republicans had failed to kill the Obama rule at the beginning of the Trump administration, leaving the White House to roll back an environmental regulation even some oil and gas companies supported as a way to keep an increasingly green-minded public on their side.'","b'The impact: Trump\xe2\x80\x99s stance was the polar opposite of what China and European countries pledged to do to rein in emissions of a gas considered one of the leading causes of climate change. The Trump rollbacks, finalized in August, were considered so out of the norm that even oil companies such as BP and Shell publicly spoke out against them. The French government stepped in to force trading firm Engie, in which it owns a stake, to reject a proposed contract to import U.S. gas, citing reputational risk. Trump\xe2\x80\x99s rejection of strict methane standards has also allowed Europe to claim the global mantle for fighting climate change. '",b'The upshot: Trump\xe2\x80\x99s rule changes are still being litigated in court and will be immediately in Biden\xe2\x80\x99s sights for reversal when he officially takes office. But reputational damage has already been done. \xe2\x80\x94 Ben Lefebvre '
